Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Sales,Profit,Discount,Month,Year,Quarter,Profit_Margin
26,C0544,P059,2024-11-14,3,27807.46,3900.46,10,November,2024,4,14.03
27,C0057,P016,2024-08-21,3,59299.12,24373.12,0,August,2024,3,41.1
28,C0423,P086,2024-11-24,2,17082.78,4384.78,15,November,2024,4,25.67
29,C0509,P050,2025-10-23,3,29280.54,11247.54,20,October,2025,4,38.41
30,C0361,P012,2025-02-20,1,12507.86,2675.86,5,February,2025,1,21.39
31,C0384,P047,2024-02-27,4,53537.64,20965.64,10,February,2024,1,39.16
32,C0403,P010,2024-11-14,5,13523.81,5398.81,0,November,2024,4,39.92
33,C0151,P025,2025-08-05,5,6898.6,2013.6,20,August,2025,3,29.19
34,C0136,P071,2024-02-29,1,6506.61,1354.61,5,February,2024,1,20.82
35,C0123,P030,2025-01-04,2,15944.06,2334.06,0,January,2025,1,14.64
36,C0158,P030,2025-06-01,2,18075.24,4465.24,15,June,2025,2,24.7
37,C0278,P069,2025-11-28,4,87053.76,31357.76,0,November,2025,4,36.02
38,C0176,P086,2025-08-31,1,8299.79,1950.79,15,August,2025,3,23.5
39,C0434,P061,2025-08-23,4,8549.24,1793.24,15,August,2025,3,20.98
40,C0283,P040,2024-09-21,5,27484.9,7529.9,5,September,2024,3,27.4
41,C0205,P048,2024-02-20,1,3493.13,877.13,15,February,2024,1,25.11
42,C0358,P055,2024-08-14,2,46368.74,19172.74,5,August,2024,3,41.35
43,C0535,P055,2025-10-29,2,43255.29,16059.29,10,October,2025,4,37.13
44,C0178,P074,2025-04-30,4,46378.36,15118.36,0,April,2025,2,32.6
45,C0078,P005,2024-01-09,2,8595.37,3123.37,20,January,2024,1,36.34
46,C0367,P075,2025-12-30,2,21321.84,5095.84,10,December,2025,4,23.9
47,C0534,P079,2024-12-23,3,6812.34,2033.34,15,December,2024,4,29.85
48,C0031,P047,2024-11-05,4,42793.07,10221.07,15,November,2024,4,23.88
49,C0279,P090,2025-08-21,5,7004.51,2849.51,15,August,2025,3,40.68
50,C0155,P032,2025-07-28,1,10598.53,1420.53,10,July,2025,3,13.4
51,C0515,P008,2025-12-01,5,70043.94,24733.94,10,December,2025,4,35.31
52,C0151,P068,2024-10-10,1,11497.28,3639.28,10,October,2024,4,31.65
53,C0056,P088,2025-11-02,3,16189.99,6721.99,10,November,2025,4,41.52
54,C0286,P057,2024-09-03,3,39474.72,8451.72,20,September,2024,3,21.41
55,C0240,P060,2025-02-17,1,5641.47,2270.47,20,February,2025,1,40.25
56,C0314,P063,2025-11-02,3,16673.38,6203.38,0,November,2025,4,37.21
57,C0130,P085,2025-03-04,4,105074.28,46646.28,10,March,2025,1,44.39
58,C0446,P070,2025-08-20,4,11174.15,3206.15,0,August,2025,3,28.69
59,C0496,P003,2025-12-31,5,123064.79,49829.79,10,December,2025,4,40.49
60,C0108,P023,2025-11-18,2,23025.44,8599.44,15,November,2025,4,37.35
61,C0002,P026,2025-11-04,3,7808.67,2531.67,5,November,2025,4,32.42
62,C0007,P050,2025-04-27,5,38101.87,8046.87,0,April,2025,2,21.12
63,C0594,P046,2024-07-06,2,45227.88,17507.88,20,July,2024,3,38.71
64,C0044,P089,2024-12-29,3,34987.67,12778.67,5,December,2024,4,36.52
65,C0280,P085,2025-03-06,2,47727.98,18513.98,10,March,2025,1,38.79
66,C0255,P052,2024-10-28,3,29661.82,8346.82,20,October,2024,4,28.14
67,C0429,P057,2024-02-24,4,70454.85,29090.85,15,February,2024,1,41.29
68,C0295,P072,2024-03-13,5,98955.15,34160.15,20,March,2024,1,34.52
69,C0434,P042,2024-05-02,4,6311.12,2659.12,20,May,2024,2,42.13
70,C0519,P079,2024-02-25,4,9522.29,3150.29,15,February,2024,1,33.08
71,C0116,P057,2024-12-16,2,25630.94,4948.94,5,December,2024,4,19.31
72,C0196,P045,2024-05-26,4,65252.79,28832.79,15,May,2024,2,44.19
73,C0305,P033,2024-03-23,3,61215.67,25428.67,5,March,2024,1,41.54
74,C0565,P086,2024-11-16,4,34696.25,9300.25,5,November,2024,4,26.8
75,C0537,P066,2024-08-02,1,5628.1,747.1,10,August,2024,3,13.27
76,C0514,P008,2025-05-16,2,27631.51,9507.51,5,May,2025,2,34.41
77,C0254,P045,2025-10-10,1,11236.61,2131.61,15,October,2025,4,18.97
78,C0263,P053,2025-01-27,4,8670.94,2530.94,15,January,2025,1,29.19
79,C0113,P012,2025-01-17,1,11547.89,1715.89,5,January,2025,1,14.86
80,C0085,P005,2024-07-14,1,4732.74,1996.74,20,July,2024,3,42.19
81,C0325,P024,2024-08-19,1,4249.77,1576.77,5,August,2024,3,37.1
82,C0415,P044,2025-01-27,3,38422.58,10021.58,0,January,2025,1,26.08
83,C0272,P029,2024-03-07,5,24614.13,8554.13,5,March,2024,1,34.75
84,C0258,P035,2025-04-11,1,12025.95,3076.95,10,April,2025,2,25.59
85,C0276,P073,2025-03-20,5,50834.39,17774.39,10,March,2025,1,34.97
86,C0600,P002,2025-01-02,2,7926.41,2152.41,15,January,2025,1,27.15
87,C0333,P035,2024-01-20,2,22500.91,4602.91,15,January,2024,1,20.46
88,C0579,P030,2024-08-04,2,17635.96,4025.96,5,August,2024,3,22.83
89,C0413,P023,2024-05-06,1,11059.7,3846.7,5,May,2024,2,34.78
90,C0397,P088,2025-01-19,3,15264.51,5796.51,0,January,2025,1,37.97
91,C0419,P053,2024-02-19,3,7604.29,2999.29,20,February,2024,1,39.44
92,C0293,P043,2025-10-31,5,58719.98,26034.98,0,October,2025,4,44.34
93,C0083,P072,2025-03-02,1,15309.15,2350.15,0,March,2025,1,15.35
94,C0576,P042,2024-09-15,4,5102.45,1450.45,20,September,2024,3,28.43
95,C0240,P029,2025-12-12,4,20636.64,7788.64,5,December,2025,4,37.74
96,C0002,P045,2025-11-09,1,12252.83,3147.83,0,November,2025,4,25.69
97,C0158,P083,2025-12-18,5,20737.22,5092.22,20,December,2025,4,24.56
98,C0169,P081,2025-06-07,2,25640.08,7612.08,0,June,2025,2,29.69
99,C0112,P032,2024-04-18,5,56285.35,10395.35,0,April,2024,2,18.47
100,C0473,P068,2024-09-26,4,40205.31,8773.31,5,September,2024,3,21.82
101,C0246,P055,2025-12-21,5,121194.07,53204.07,10,December,2025,4,43.9
102,C0532,P002,2025-07-15,4,15497.17,3949.17,0,July,2025,3,25.48
103,C0097,P030,2024-12-04,4,47409.94,20189.94,15,December,2024,4,42.59
104,C0383,P050,2024-04-23,2,13846.7,1824.7,0,April,2024,2,13.18
105,C0455,P048,2024-04-02,5,20730.02,7650.02,5,April,2024,2,36.9
106,C0035,P090,2024-09-19,5,4980.94,825.94,0,September,2024,3,16.58
107,C0361,P064,2024-09-27,2,8386.16,2590.16,10,September,2024,3,30.89
108,C0316,P040,2024-02-10,4,18878.26,2914.26,5,February,2024,1,15.44
109,C0419,P027,2025-03-12,3,22937.96,6365.96,10,March,2025,1,27.75
110,C0255,P046,2024-01-10,1,16794.84,2934.84,0,January,2024,1,17.47
111,C0383,P056,2024-12-02,2,34615.21,12723.21,5,December,2024,4,36.76
112,C0315,P039,2024-10-01,3,25826.2,10910.2,20,October,2024,4,42.24
113,C0347,P058,2024-07-06,1,13828.77,3895.77,10,July,2024,3,28.17
114,C0109,P031,2024-10-05,1,16251.84,4729.84,15,October,2024,4,29.1
115,C0165,P087,2025-03-07,4,39334.33,14726.33,15,March,2025,1,37.44
116,C0344,P031,2024-06-12,2,28194.03,5150.03,0,June,2024,2,18.27
117,C0209,P042,2025-05-09,1,1296.84,383.84,20,May,2025,2,29.6
118,C0183,P051,2025-09-17,5,1288.67,478.67,5,September,2025,3,37.14
119,C0197,P015,2024-01-30,4,53066.25,21030.25,20,January,2024,1,39.63
120,C0050,P027,2024-04-25,2,16174.29,5126.29,15,April,2024,2,31.69
121,C0164,P022,2024-09-24,4,84330.94,25622.94,0,September,2024,3,30.38
122,C0569,P014,2025-08-13,3,51187.42,6985.42,20,August,2025,3,13.65
123,C0577,P025,2025-06-15,5,6328.96,1443.96,10,June,2025,2,22.82
124,C0379,P018,2024-04-07,5,57233.3,21403.3,20,April,2024,2,37.4
125,C0458,P033,2025-05-08,4,75396.7,27680.7,5,May,2025,2,36.71
126,C0391,P077,2024-06-01,3,51854.5,19064.5,15,June,2024,2,36.77
127,C0321,P083,2024-02-25,5,27063.35,11418.35,20,February,2024,1,42.19
128,C0380,P030,2025-06-01,1,10671.66,3866.66,5,June,2025,2,36.23
129,C0584,P054,2024-03-17,4,33563.21,13863.21,5,March,2024,1,41.3
130,C0174,P045,2024-10-11,4,49473.36,13053.36,10,October,2024,4,26.38
131,C0112,P054,2025-10-20,1,7286.56,2361.56,20,October,2025,4,32.41
132,C0213,P068,2024-03-21,4,44386.07,12954.07,5,March,2024,1,29.18
133,C0127,P030,2025-04-03,4,39162.03,11942.03,20,April,2025,2,30.49
134,C0223,P057,2024-11-19,1,17649.84,7308.84,15,November,2024,4,41.41
135,C0157,P067,2024-04-15,1,2577.48,1135.48,0,April,2024,2,44.05
136,C0320,P081,2025-07-16,4,51128.13,15072.13,20,July,2025,3,29.48
137,C0350,P042,2025-09-25,1,1540.09,627.09,20,September,2025,3,40.72
138,C0463,P024,2024-07-30,3,13861.42,5842.42,20,July,2024,3,42.15
139,C0339,P046,2024-02-25,4,98003.0,42563.0,10,February,2024,1,43.43
140,C0346,P057,2025-07-27,2,35134.71,14452.71,10,July,2025,3,41.14
141,C0118,P044,2025-04-08,5,72894.4,25559.4,10,April,2025,2,35.06
142,C0089,P082,2024-01-03,1,7824.79,1375.79,5,January,2024,1,17.58
143,C0351,P081,2025-07-14,3,37340.68,10298.68,10,July,2025,3,27.58
144,C0101,P038,2024-02-16,5,32819.76,9259.76,0,February,2024,1,28.21
145,C0397,P082,2024-04-19,2,18961.02,6063.02,15,April,2024,2,31.98
146,C0386,P060,2024-05-03,3,15645.35,5532.35,5,May,2024,2,35.36
147,C0501,P054,2024-12-12,4,25415.62,5715.62,5,December,2024,4,22.49
148,C0471,P063,2025-10-10,1,5731.09,2241.09,0,October,2025,4,39.1
149,C0045,P057,2025-04-13,5,63601.93,11896.93,15,April,2025,2,18.71
150,C0024,P047,2025-05-25,5,72127.59,31412.59,5,May,2025,2,43.55
151,C0362,P081,2025-07-20,1,13473.56,4459.56,0,July,2025,3,33.1
152,C0413,P034,2025-06-04,4,81771.14,33535.14,15,June,2025,2,41.01
153,C0351,P087,2024-05-11,2,19682.48,7378.48,5,May,2024,2,37.49
154,C0238,P046,2025-09-12,1,19429.14,5569.14,20,September,2025,3,28.66
155,C0568,P027,2025-03-04,3,24487.97,7915.97,15,March,2025,1,32.33
156,C0433,P072,2024-10-07,5,113089.41,48294.41,5,October,2024,4,42.7
157,C0328,P005,2025-04-08,4,19440.22,8496.22,10,April,2025,2,43.7
158,C0044,P033,2025-12-17,2,29579.55,5721.55,20,December,2025,4,19.34
159,C0507,P045,2024-11-17,5,61198.96,15673.96,20,November,2024,4,25.61
160,C0070,P044,2024-08-02,5,73898.41,26563.41,5,August,2024,3,35.95
161,C0030,P066,2025-11-19,5,39398.21,14993.21,10,November,2025,4,38.06
162,C0373,P066,2025-05-30,2,17453.17,7691.17,5,May,2025,2,44.07
163,C0196,P044,2025-12-28,5,75797.67,28462.67,10,December,2025,4,37.55
164,C0083,P028,2025-05-06,1,5701.49,2234.49,20,May,2025,2,39.19
165,C0451,P004,2025-11-21,5,47536.19,16281.19,15,November,2025,4,34.25
166,C0032,P053,2024-01-14,5,10252.67,2577.67,15,January,2024,1,25.14
167,C0579,P040,2024-05-28,5,24329.25,4374.25,15,May,2024,2,17.98
168,C0523,P008,2024-09-30,1,14369.3,5307.3,5,September,2024,3,36.93
169,C0033,P022,2024-05-29,2,52523.0,23169.0,10,May,2024,2,44.11
170,C0590,P056,2024-07-27,1,17501.41,6555.41,10,July,2024,3,37.46
171,C0410,P082,2024-04-14,5,37758.87,5513.87,15,April,2024,2,14.6
172,C0073,P088,2024-08-17,5,27050.44,11270.44,20,August,2024,3,41.66
173,C0236,P014,2025-12-13,5,103342.53,29672.53,20,December,2025,4,28.71
174,C0152,P075,2025-01-25,3,38952.34,14613.34,0,January,2025,1,37.52
175,C0050,P024,2025-07-19,4,15190.85,4498.85,10,July,2025,3,29.62
176,C0160,P043,2024-07-26,1,7572.64,1035.64,10,July,2024,3,13.68
177,C0514,P036,2024-08-18,5,38118.95,15888.95,15,August,2024,3,41.68
178,C0002,P044,2025-09-09,3,46600.93,18199.93,20,September,2025,3,39.05
179,C0056,P014,2024-10-28,2,48754.67,19286.67,5,October,2024,4,39.56
180,C0592,P054,2024-07-10,4,24926.94,5226.94,0,July,2024,3,20.97
181,C0247,P076,2025-01-21,2,48055.96,18533.96,0,January,2025,1,38.57
182,C0569,P087,2024-09-27,1,8788.32,2636.32,20,September,2024,3,30.0
183,C0316,P045,2024-01-06,2,22846.33,4636.33,10,January,2024,1,20.29
184,C0366,P065,2024-02-10,3,46017.26,14349.26,5,February,2024,1,31.18
185,C0479,P005,2024-02-22,2,9595.74,4123.74,20,February,2024,1,42.97
186,C0507,P011,2025-05-17,5,47850.8,19670.8,10,May,2025,2,41.11
187,C0348,P047,2025-12-25,5,61382.1,20667.1,0,December,2025,4,33.67
188,C0456,P031,2025-06-17,3,51555.42,16989.42,5,June,2025,2,32.95
189,C0579,P064,2025-03-01,1,4813.77,1915.77,5,March,2025,1,39.8
190,C0521,P033,2024-12-23,5,89412.23,29767.23,0,December,2024,4,33.29
191,C0280,P009,2024-12-05,2,51084.83,21456.83,10,December,2024,4,42.0
192,C0278,P073,2025-06-27,3,26596.57,6760.57,20,June,2025,2,25.42
193,C0326,P064,2024-04-27,4,20840.22,9248.22,0,April,2024,2,44.38
194,C0155,P067,2025-09-28,3,6228.07,1902.07,20,September,2025,3,30.54
195,C0006,P017,2025-01-25,2,2152.77,938.77,10,January,2025,1,43.61
196,C0027,P076,2024-10-16,1,20677.49,5916.49,20,October,2024,4,28.61
197,C0143,P063,2025-06-10,1,6080.87,2590.87,10,June,2025,2,42.61
198,C0416,P008,2024-10-30,5,65228.82,19918.82,0,October,2024,4,30.54
199,C0429,P039,2024-04-08,2,13505.97,3561.97,0,April,2024,2,26.37
200,C0584,P047,2025-06-30,2,29014.46,12728.46,20,June,2025,2,43.87
201,C0091,P029,2025-11-17,1,5002.71,1790.71,5,November,2025,4,35.79
202,C0122,P012,2024-04-16,2,33669.06,14005.06,15,April,2024,2,41.6
203,C0318,P058,2025-10-24,2,29789.87,9923.87,15,October,2025,4,33.31
204,C0523,P042,2024-01-25,1,1493.19,580.19,5,January,2024,1,38.86
205,C0252,P009,2024-03-30,4,95755.59,36499.59,0,March,2024,1,38.12
206,C0512,P008,2025-07-25,1,10740.96,1678.96,10,July,2025,3,15.63
207,C0408,P044,2024-09-21,1,14425.11,4958.11,5,September,2024,3,34.37
208,C0094,P085,2025-03-19,4,81928.98,23500.98,15,March,2025,1,28.68
209,C0022,P071,2025-07-01,3,17944.09,2488.09,0,July,2025,3,13.87
210,C0425,P044,2024-03-05,1,14834.08,5367.08,20,March,2024,1,36.18
211,C0592,P054,2025-01-01,5,29047.3,4422.3,0,January,2025,1,15.22
212,C0328,P062,2025-09-13,5,3175.46,570.46,10,September,2025,3,17.96
213,C0011,P011,2025-01-25,1,7512.71,1876.71,15,January,2025,1,24.98
214,C0583,P082,2025-04-30,4,43450.25,17654.25,0,April,2025,2,40.63
215,C0368,P002,2025-02-04,2,8642.26,2868.26,5,February,2025,1,33.19
216,C0155,P006,2024-11-01,5,81121.36,20661.36,5,November,2024,4,25.47
217,C0231,P077,2025-07-20,3,58113.87,25323.87,0,July,2025,3,43.58
218,C0150,P078,2024-01-06,5,27576.23,5371.23,0,January,2024,1,19.48
219,C0028,P021,2025-07-14,5,77275.74,27025.74,20,July,2025,3,34.97
220,C0441,P037,2024-08-04,1,14724.74,3801.74,10,August,2024,3,25.82
221,C0152,P047,2024-05-25,4,56631.58,24059.58,20,May,2024,2,42.48
222,C0483,P047,2024-09-15,2,20676.63,4390.63,20,September,2024,3,21.23
223,C0377,P054,2024-02-25,2,12061.37,2211.37,20,February,2024,1,18.33
224,C0504,P007,2024-03-15,5,9626.82,2986.82,20,March,2024,1,31.03
225,C0528,P006,2024-04-10,3,57555.34,21279.34,10,April,2024,2,36.97
226,C0245,P061,2024-12-04,2,5477.88,2099.88,15,December,2024,4,38.33
227,C0269,P062,2024-04-12,3,1927.71,364.71,5,April,2024,2,18.92
228,C0290,P035,2024-11-21,3,41684.94,14837.94,5,November,2024,4,35.6
229,C0353,P050,2025-11-06,4,34693.57,10649.57,20,November,2025,4,30.7
230,C0303,P069,2025-08-02,3,66866.44,25094.44,5,August,2025,3,37.53
231,C0554,P071,2025-03-14,5,35727.08,9967.08,10,March,2025,1,27.9
232,C0387,P007,2024-08-14,2,3062.74,406.74,5,August,2024,3,13.28
233,C0128,P069,2024-05-17,4,74066.87,18370.87,10,May,2024,2,24.8
234,C0255,P045,2025-04-01,3,46998.89,19683.89,15,April,2025,2,41.88
235,C0034,P079,2025-07-18,3,7902.55,3123.55,15,July,2025,3,39.53
236,C0419,P005,2024-03-24,1,3458.99,722.99,20,March,2024,1,20.9
237,C0043,P088,2025-07-05,3,16172.9,6704.9,5,July,2025,3,41.46
238,C0001,P032,2024-03-18,2,24250.16,5894.16,0,March,2024,1,24.31
239,C0209,P028,2025-08-18,1,5901.64,2434.64,0,August,2025,3,41.25
240,C0478,P004,2024-08-05,5,44173.86,12918.86,20,August,2024,3,29.25
241,C0381,P035,2025-07-06,1,13499.89,4550.89,20,July,2025,3,33.71
242,C0268,P053,2025-01-09,4,9670.75,3530.75,5,January,2025,1,36.51
243,C0141,P083,2024-10-24,4,16210.09,3694.09,20,October,2024,4,22.79
244,C0390,P036,2024-04-02,2,12911.68,4019.68,20,April,2024,2,31.13
245,C0055,P034,2025-11-09,4,66879.82,18643.82,0,November,2025,4,27.88
246,C0060,P089,2025-12-01,2,25187.79,10381.79,20,December,2025,4,41.22
247,C0343,P080,2025-04-01,2,34866.85,13634.85,5,April,2025,2,39.11
248,C0201,P014,2025-11-06,2,37319.58,7851.58,20,November,2025,4,21.04
249,C0193,P011,2025-01-02,2,18354.74,7082.74,15,January,2025,1,38.59
250,C0301,P064,2024-08-25,1,3744.89,846.89,15,August,2024,3,22.61
251,C0301,P057,2024-02-13,1,13669.07,3328.07,5,February,2024,1,24.35
252,C0284,P025,2025-02-01,2,2904.87,950.87,10,February,2025,1,32.73
253,C0536,P068,2024-02-10,4,54900.27,23468.27,0,February,2024,1,42.75
254,C0226,P005,2025-10-10,3,9989.93,1781.93,20,October,2025,4,17.84
255,C0191,P060,2025-08-15,3,17117.94,7004.94,10,August,2025,3,40.92
256,C0408,P022,2025-10-31,5,111589.53,38204.53,15,October,2025,4,34.24
257,C0430,P017,2025-06-13,4,3368.71,940.71,0,June,2025,2,27.92
258,C0163,P017,2025-06-12,3,2539.59,718.59,5,June,2025,2,28.3
259,C0422,P001,2025-05-13,4,31449.95,8649.95,10,May,2025,2,27.5
260,C0089,P015,2025-05-28,4,55315.34,23279.34,0,May,2025,2,42.08
261,C0414,P020,2024-03-19,2,8049.85,2443.85,5,March,2024,1,30.36
262,C0119,P059,2024-06-02,5,62487.32,22642.32,5,June,2024,2,36.24
263,C0516,P040,2024-05-01,2,9995.72,2013.72,20,May,2024,2,20.15
264,C0362,P068,2024-04-26,2,22308.84,6592.84,10,April,2024,2,29.55
265,C0360,P052,2024-08-03,4,45156.51,16736.51,15,August,2024,3,37.06
266,C0003,P013,2024-01-23,5,63700.43,12935.43,15,January,2024,1,20.31
267,C0149,P068,2025-08-29,2,18514.14,2798.14,20,August,2025,3,15.11
268,C0030,P080,2024-02-10,2,26276.1,5044.1,20,February,2024,1,19.2
269,C0053,P003,2024-09-21,5,91211.43,17976.43,5,September,2024,3,19.71
270,C0108,P051,2025-09-05,2,481.4,157.4,15,September,2025,3,32.7
271,C0486,P044,2024-03-28,5,74053.47,26718.47,10,March,2024,1,36.08
272,C0410,P037,2025-05-08,2,31501.54,9655.54,15,May,2025,2,30.65
273,C0511,P068,2025-09-07,2,20314.29,4598.29,15,September,2025,3,22.64
274,C0152,P027,2025-09-30,2,18411.5,7363.5,5,September,2025,3,39.99
275,C0272,P059,2025-04-09,5,52672.64,12827.64,10,April,2025,2,24.35
276,C0522,P042,2025-01-22,5,7002.2,2437.2,5,January,2025,1,34.81
277,C0123,P087,2024-07-26,4,30413.98,5805.98,0,July,2024,3,19.09
278,C0268,P050,2025-12-01,5,51356.02,21301.02,20,December,2025,4,41.48
279,C0397,P083,2024-04-08,4,21117.42,8601.42,20,April,2024,2,40.73
280,C0297,P067,2025-09-06,2,4208.66,1324.66,20,September,2025,3,31.47
281,C0186,P014,2025-05-30,1,25350.42,10616.42,20,May,2025,2,41.88
282,C0323,P065,2025-09-09,1,12778.81,2222.81,5,September,2025,3,17.39
283,C0035,P082,2025-06-18,5,54425.99,22180.99,15,June,2025,2,40.75
284,C0448,P044,2025-12-15,4,52664.74,14796.74,0,December,2025,4,28.1
285,C0592,P048,2025-01-25,5,18688.99,5608.99,15,January,2025,1,30.01
286,C0301,P048,2024-04-10,3,12030.05,4182.05,20,April,2024,2,34.76
287,C0459,P031,2024-08-26,4,57011.96,10923.96,15,August,2024,3,19.16
288,C0471,P029,2025-02-22,1,4285.2,1073.2,20,February,2025,1,25.04
289,C0157,P003,2025-08-14,3,55930.9,11989.9,0,August,2025,3,21.44
290,C0557,P047,2025-01-19,5,49940.55,9225.55,0,January,2025,1,18.47
291,C0219,P050,2025-02-22,2,19199.72,7177.72,10,February,2025,1,37.38
292,C0347,P083,2025-10-29,3,11445.37,2058.37,15,October,2025,4,17.98
293,C0137,P027,2025-03-09,5,36316.47,8696.47,20,March,2025,1,23.95
294,C0319,P082,2025-11-27,5,44745.38,12500.38,10,November,2025,4,27.94
295,C0116,P066,2025-07-19,4,32033.65,12509.65,15,July,2025,3,39.05
296,C0597,P006,2025-07-26,5,88489.5,28029.5,10,July,2025,3,31.68
297,C0025,P021,2025-08-14,5,73588.32,23338.32,10,August,2025,3,31.71
298,C0140,P013,2024-05-21,3,50355.62,19896.62,15,May,2024,2,39.51
299,C0157,P077,2025-12-17,1,17882.35,6952.35,15,December,2025,4,38.88
300,C0541,P072,2025-02-14,2,31495.06,5577.06,20,February,2025,1,17.71
301,C0323,P024,2025-12-14,3,13396.18,5377.18,20,December,2025,4,40.14
302,C0010,P032,2024-04-03,1,11513.61,2335.61,0,April,2024,2,20.29
303,C0259,P072,2025-03-21,2,37751.76,11833.76,20,March,2025,1,31.35
304,C0071,P031,2025-01-14,1,13730.22,2208.22,5,January,2025,1,16.08
305,C0033,P051,2025-02-14,1,250.43,88.43,15,February,2025,1,35.31
306,C0561,P068,2025-12-29,5,61941.23,22651.23,10,December,2025,4,36.57
307,C0189,P052,2025-10-17,5,42180.64,6655.64,5,October,2025,4,15.78
308,C0178,P011,2025-11-03,4,32358.12,9814.12,5,November,2025,4,30.33
309,C0492,P026,2025-09-05,5,11749.28,2954.28,0,September,2025,3,25.14
310,C0240,P059,2025-09-21,5,59180.94,19335.94,5,September,2025,3,32.67
311,C0097,P034,2024-09-01,2,38302.18,14184.18,10,September,2024,3,37.03
312,C0271,P029,2024-10-09,1,5730.75,2518.75,0,October,2024,4,43.95
313,C0469,P024,2025-02-19,4,14749.97,4057.97,15,February,2025,1,27.51
314,C0481,P052,2025-12-21,5,45479.17,9954.17,0,December,2025,4,21.89
315,C0547,P014,2024-10-18,1,25747.15,11013.15,20,October,2024,4,42.77
316,C0046,P076,2024-12-21,5,128771.7,54966.7,10,December,2024,4,42.69
317,C0337,P039,2025-04-10,3,19347.43,4431.43,5,April,2025,2,22.9
318,C0129,P086,2024-06-28,4,38695.62,13299.62,10,June,2024,2,34.37
319,C0265,P004,2024-03-15,4,36982.29,11978.29,20,March,2024,1,32.39
320,C0295,P009,2025-06-09,5,99347.4,25277.4,0,June,2025,2,25.44
321,C0137,P015,2024-09-13,3,41313.79,17286.79,20,September,2024,3,41.84
322,C0407,P046,2025-05-10,4,98568.77,43128.77,20,May,2025,2,43.76
323,C0548,P088,2025-11-28,2,10366.56,4054.56,15,November,2025,4,39.11
324,C0223,P073,2025-05-08,4,45827.52,19379.52,0,May,2025,2,42.29
325,C0591,P082,2025-10-10,1,8497.09,2048.09,15,October,2025,4,24.1
326,C0541,P075,2024-11-19,2,25799.23,9573.23,5,November,2024,4,37.11
327,C0269,P001,2025-07-02,4,40379.71,17579.71,20,July,2025,3,43.54
328,C0301,P014,2024-09-11,1,23655.91,8921.91,10,September,2024,3,37.72
329,C0539,P022,2024-03-18,3,53297.59,9266.59,10,March,2024,1,17.39
330,C0067,P009,2024-11-17,5,130023.04,55953.04,15,November,2024,4,43.03
331,C0068,P015,2024-10-02,3,31044.52,7017.52,20,October,2024,4,22.6
332,C0555,P053,2025-05-25,2,5420.47,2350.47,5,May,2025,2,43.36
333,C0299,P075,2024-09-28,2,21136.96,4910.96,5,September,2024,3,23.23
334,C0218,P044,2025-09-25,2,24594.98,5660.98,5,September,2025,3,23.02
335,C0171,P086,2024-05-02,3,23835.36,4788.36,0,May,2024,2,20.09
336,C0211,P008,2025-09-20,1,14402.04,5340.04,15,September,2025,3,37.08
337,C0227,P004,2024-02-13,1,10293.89,4042.89,20,February,2024,1,39.27
338,C0345,P036,2025-05-19,4,24742.48,6958.48,10,May,2025,2,28.12
339,C0063,P064,2024-07-06,5,24846.0,10356.0,15,July,2024,3,41.68
